Material,Magnetic Entropy Change,Magnetic Field,Curie Temperature,source,Number,Article Title,Source Title,DOI,mpid
Gd3SbO7,354mJ K-1 cm(-3),9 T,,table_only_1stcheck558.txt,159,"Large magnetic entropy change in weberite-type oxides Gd3MO7 (M = Nb, Sb, and Ta)",SCIENCE CHINA-PHYSICS MECHANICS & ASTRONOMY,10.1007/s11433-021-1834-4,mp-755404
GdPd,20.14,5 T,39,table_only_1stcheck562.txt,192,Magnetic properties and large magnetocaloric effects of GdPd intermetallic compound,JOURNAL OF RARE EARTHS,10.1016/j.jre.2018.03.016,mp-11427
Dy2Co2Al,10.6,0-50 kOe,,table_only_1stcheck570.txt,27,"Structural, magnetic, and magnetothermal properties of R2Co2Al (R = Tb, and Dy) compounds",MATERIALS CHARACTERIZATION,10.1016/j.matchar.2011.02.009,mp-13431
Tb2Co2Al,6.4,0-50 kOe,,table_only_1stcheck570.txt,355,"Structural, magnetic, and magnetothermal properties of R2Co2Al (R = Tb, and Dy) compounds",MATERIALS CHARACTERIZATION,10.1016/j.matchar.2011.02.009,mp-13432
FeGe,2.86,7.0 T,279.1,table_only_1stcheck576.txt,128,Magnetic entropy change and accurate determination of Curie temperature in single-crystalline helimagnet FeGe,EPL,10.1209/0295-5075/117/47004,mp-21255
Sm2Co2Ga,1.31,50 kOe,62,table_only1581.txt,514,Mo2NiB2-type Sm2Co2Al and Sm2Co2Ga compounds: Magnetic properties and giant low-temperature coercivity,JOURNAL OF SOLID STATE CHEMISTRY,10.1016/j.jssc.2018.01.023,mp-1207243
GdCo2B2,17.1,5 T,,table_only_1stcheck582.txt,174,"A comparative study of the magnetic properties and magnetic entropy change in RCo2B2 (R = Pr, Nd and Gd) compounds",1ST INTERNATIONAL SYMPOSIUM ON SPINTRONIC DEVICES AND COMMERCIALIZATION (ISSDC2010),10.1088/1742-6596/263/1/012017,mp-610530
NdCo2B2,7.1,5 T,27,table_only_1stcheck582.txt,298,"A comparative study of the magnetic properties and magnetic entropy change in RCo2B2 (R = Pr, Nd and Gd) compounds",1ST INTERNATIONAL SYMPOSIUM ON SPINTRONIC DEVICES AND COMMERCIALIZATION (ISSDC2010),10.1088/1742-6596/263/1/012017,mp-5553
PrCo2B2,8.1,5 T,18,table_only_1stcheck582.txt,326,"A comparative study of the magnetic properties and magnetic entropy change in RCo2B2 (R = Pr, Nd and Gd) compounds",1ST INTERNATIONAL SYMPOSIUM ON SPINTRONIC DEVICES AND COMMERCIALIZATION (ISSDC2010),10.1088/1742-6596/263/1/012017,mp-4322
PdAs2O6,1.72,nan T,,table_only1583.txt,498,Three-dimensional magnetic interactions in quasi-two-dimensional PdAs2O6,JOURNAL OF PHYSICS-CONDENSED MATTER,10.1088/1361-648X/aa6f9d,mp-6915
Gd2GeO5,50.3,8.9 T,,table_only_1stcheck595.txt,146,Gadolinium oxyorthogermanate Gd2GeO5: An efficient solid refrigerant material for magnetic cryocoolers,MATERIALS TODAY PHYSICS,10.1016/j.mtphys.2022.100810,mp-561584
Nd5Si3,4.3,7 T,112,table_only1598.txt,466,Structural evolution and magnetic phase transitions of Nd5Ge3-xSix (0 <= x <= 3) compounds,JOURNAL OF SOLID STATE CHEMISTRY,10.1016/j.jssc.2022.123533,mp-567735
HoFeO3,19.2,7 T,,table_only1607.txt,385,Large magnetocaloric effect in HoFeO3 single crystal,SOLID STATE COMMUNICATIONS,10.1016/j.ssc.2012.03.030,mp-19785
HoFeO3,15.8,7 T,,table_only1607.txt,386,Large magnetocaloric effect in HoFeO3 single crystal,SOLID STATE COMMUNICATIONS,10.1016/j.ssc.2012.03.030,mp-19785
Dy3NiSi3,1.2,50 kOe,,table_only1611.txt,72,Magnetic order of Y3NiSi3-type R3NiSi3 (R= Gd-DY) compounds,JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,10.1016/j.jmmm.2015.09.035,mp-1228345
GdCrO3,36.97,7 T,,table_only_1stcheck619.txt,180,GdCrO3: a potential candidate for low temperature magnetic refrigeration,JOURNAL OF PHYSICS D-APPLIED PHYSICS,10.1088/1361-6463/aacc98,mp-18331
NdNi4Si,3.3,50 kOe,12,table_only1624.txt,477,Magnetic order and crystal structure study of YNi4Si-type NdNi4Si,JOURNAL OF SOLID STATE CHEMISTRY,10.1016/j.jssc.2014.11.016,mp-1070857
UNiGa,3.56,5 T,38.4,table_only_1stcheck625.txt,394,Magnetocaloric effect in UNiGa compound with the multiple magnetic phase transitions,PHYSICA B-CONDENSED MATTER,10.1016/j.physb.2009.09.087,mp-21320
HoCoSi,22(parallel to texture),0-5 T,13.7,table_only_1stcheck626.txt,230,Magnetic and anisotropic magnetocaloric effects of HoCoSi fast quenching ribbons,ACTA PHYSICA SINICA,10.7498/aps.71.20220683,mp-510688
HoCoSi,12(perpendicular to texture),0-5 T,13.7,table_only_1stcheck626.txt,231,Magnetic and anisotropic magnetocaloric effects of HoCoSi fast quenching ribbons,ACTA PHYSICA SINICA,10.7498/aps.71.20220683,mp-510688
CoMnSb,2.06,0.9 T,471,table_only_1stcheck638.txt,14,CoMnSb: A magnetocaloric material with a large low-field magnetic entropy change at intermediate temperature,JOURNAL OF APPLIED PHYSICS,10.1063/1.2179195,mp-5318
CrO2,8.46,0-5 T,385,table_only_1stcheck641.txt,18,Large magnetocaloric effect in CrO2/TiO2 epitaxial films above room temperature,MATERIALS LETTERS,10.1016/j.matlet.2012.02.057,mp-19177
Ho3Pd2,18.3, '0-5' T,9.6,table_only1644.txt,347,Magnetic properties and large magnetocaloric effect in Ho3Pd2 compound,JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,10.1016/j.jmmm.2019.03.048,mp-12544
DyMnO3,8.93,50 kOe,,table_only1648.txt,97,"Study of magnetic and magnetocaloric effect of REMnO3(RE=Dy,Eu) manganites",CERAMICS INTERNATIONAL,10.1016/j.ceramint.2022.01.238,mp-22103
EuMnO3,9.31,50 kOe,,table_only1648.txt,180,"Study of magnetic and magnetocaloric effect of REMnO3(RE=Dy,Eu) manganites",CERAMICS INTERNATIONAL,10.1016/j.ceramint.2022.01.238,mp-20614
Er2Cu2Cd,19.1,7 T,36,table_only1651.txt,120,Magnetic and magnetocaloric properties of the ternary cadmium based intermetallic compounds of Gd2Cu2Cd and Er2Cu2Cd,JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2016.09.104,mp-1206454
LNSMO,1.1,1.5 T,,table_only1657.txt,415,Composite (La(0.4)5Nd(0.25))Sr0.3MnO3/5CuO materials for magnetic refrigeration applications,JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,10.1016/j.jmmm.2017.09.076,mp-556146
Gd4Co3,5.74,5 T,220,table_only_1stcheck676.txt,160,Magnetic and reversible magnetocaloric properties of (Gd1-xDyx)(4)Co-3 ferrimagnets,JOURNAL OF APPLIED PHYSICS,10.1063/1.3075627,mp-1225806
DyZn,12.2,0-7 T,135,table_only1688.txt,115,Magnetic phase transitions and large magnetocaloric effects in equiatomic binary DyZn compound,JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2016.09.161,mp-2303
Er6MnBi2,10.6,,98,table_only1696.txt,139,Magnetic properties and magnetocaloric effect in Ho6-xErxMnBi2 compounds,JOURNAL OF APPLIED PHYSICS,10.1063/1.3359812,mp-23039
Ho3Er3MnBi2,7.3,,147,table_only1696.txt,345,Magnetic properties and magnetocaloric effect in Ho6-xErxMnBi2 compounds,JOURNAL OF APPLIED PHYSICS,10.1063/1.3359812,mp-1224021
Ho6MnBi2,5,,201,table_only1696.txt,362,Magnetic properties and magnetocaloric effect in Ho6-xErxMnBi2 compounds,JOURNAL OF APPLIED PHYSICS,10.1063/1.3359812,mp-23047
Er3Pd2,8.9,50 kOe,,table_only1704.txt,130,Magnetic properties and large reversible magnetocaloric effect in Er3Pd2,JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,10.1016/j.jmmm.2018.02.036,mp-12545
CuNMn3,6.38,45 kOe,141,table_only_1stcheck709.txt,23,Large magnetic entropy change associated with the weakly first-order paramagnetic to ferrimagnetic transition in antiperovskite manganese nitride CuNMn3,JOURNAL OF APPLIED PHYSICS,10.1063/1.4890223,mp-510380
Ho6FeBi2,3.4-5.7,5 T,80,table_only1722.txt,361,"Magnetocaloric properties, magnetic interactions and critical behavior in Ho-6(Fe,Mn)Bi-2 intermetallics",JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2019.153198,mp-30328
Ho6MnBi2,3.4-5.7,5 T,200,table_only1722.txt,363,"Magnetocaloric properties, magnetic interactions and critical behavior in Ho-6(Fe,Mn)Bi-2 intermetallics",JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2019.153198,mp-23047
Nd2In,13.2,7 T,,table_only1723.txt,463,"Unconventional metamagnetic phase transition in R2In (R=Nd, Pr) with lambda-like specific heat and nonhysteresis",JOURNAL OF MATERIALS SCIENCE & TECHNOLOGY,10.1016/j.jmst.2021.05.055,mp-21295
Pr2In,19.5,7 T,,table_only1723.txt,501,"Unconventional metamagnetic phase transition in R2In (R=Nd, Pr) with lambda-like specific heat and nonhysteresis",JOURNAL OF MATERIALS SCIENCE & TECHNOLOGY,10.1016/j.jmst.2021.05.055,mp-19854
AlFe2B2,1.3,,285,table_only1736.txt,3,Magnetic structure of the magnetocaloric compound AlFe2B2,JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2015.12.111,mp-3805
AlCMn3,3.28,4.5 T,287,table_only1738.txt,2,"Magnetic, magnetocaloric and transport properties in AlCMn3 antiperovskite compound",JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2018.01.223,mp-4593
MnBi,14,2 T,633,table_only1747.txt,448,Magnetic properties of MnBi in high magnetic fields and high temperature,JOURNAL OF THE JAPAN INSTITUTE OF METALS,10.2320/jinstmet.71.489,mp-22878
CrI3,3.21,4.5 T,,table_only_1stcheck752.txt,17,Magnetic entropy scaling in two-dimensional intrinsically ferromagnetic semiconductor CrI3,JOURNAL OF APPLIED PHYSICS,10.1063/1.5079911,mp-1213805
FeRh,24.8,nan T,,table_only_1stcheck758.txt,132,High-throughput compatible approach for entropy estimation in magnetocaloric materials: FeRh as a test case,JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2020.157811,mp-1918
ErNiBC,24.8,0-50 kOe,5,table_only1761.txt,166,Magnetic properties and magnetocaloric effect in quaternary boroncarbides compound ErNiBC,PHYSICA B-CONDENSED MATTER,10.1016/j.physb.2015.05.017,mp-1078704
HoCo3B2,7.8, 0-2 T ,11.8,table_only1771.txt,371,Magnetic properties and magnetocaloric effect of HoCo3B2 compound,AIP ADVANCES,10.1063/1.5006505,mp-5313
HoCo3B2,12.7, 0-5 T ,11.8,table_only1771.txt,372,Magnetic properties and magnetocaloric effect of HoCo3B2 compound,AIP ADVANCES,10.1063/1.5006505,mp-5313
HoCo3B2,14.4, 0-7 T ,11.8,table_only1771.txt,373,Magnetic properties and magnetocaloric effect of HoCo3B2 compound,AIP ADVANCES,10.1063/1.5006505,mp-5313
Ho2NiMnO6,11.4,7 T,,table_only_1stcheck778.txt,211,"Multiple magnetic phase transitions and magnetocaloric effect in double perovskites R2NiMnO6 (R = Dy, Ho, and Er)",JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2017.08.073,mp-1212340
ErCo2,12,0-8 T,32,table_only_1stcheck781.txt,87,Magnetocaloric properties of a first-order magnetic transition system ErCo2,CRYOGENICS,10.1016/S0011-2275(99)00121-6,mp-537
DyCu2,4.31,50 kOe,,table_only_1stcheck786.txt,59,Magnetocaloric effect and nature of magnetic transition in low dimensional DyCu2,JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2016.05.042,mp-1071835
TbNiBC,20.8,0-5 T,,table_only1790.txt,578,"Magnetic Properties and Magnetocaloric Effect in RENiBC (RE = Tb, Dy, and Ho) Compounds",Science of Advanced Materials,10.1166/sam.2016.2779,mp-1079626
Ho2PdSi3,27.5,5 T,,table_only1806.txt,341,A giant reversible magnetocaloric effect in Ho2PdSi3 compound,JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2014.08.224,mp-1212362
ErTiSi,8.9,0-5 T,,table_only1820.txt,168,Magnetic properties and magnetocaloric effects in antiferromagnetic ErTiSi,JOURNAL OF APPLIED PHYSICS,10.1063/1.3365531,mp-20918
FeDy6Sb2,3.41,0-2.0 T,143.4,table_only1826.txt,212,Crystal structure and magnetic properties of the compound FeDY6Sb2,MATERIALS LETTERS,10.1016/j.matlet.2006.04.054,mp-4189
Pr5Si3,11.6,50 kOe,47,table_only_1stcheck830.txt,323,Large reversible magnetocaloric effect of light rare-earth intermetallic compound Pr5Si3,JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2010.02.093,mp-1105764
NdSi,6.8 and12.46,20 and 50 kOe,46,table_only1833.txt,481,Magnetic properties and magnetocaloric effect of the compound NdSi,PHYSICA B-CONDENSED MATTER,10.1016/j.physb.2014.09.008,mp-9967
CuMn2O4,4.6,70 kOe,,table_only_1stcheck843.txt,22,Magnetic and magnetocaloric properties of CuMn2O4 and Mn3O4 composite system,MATERIALS RESEARCH EXPRESS,10.1088/2053-1591/aac1ec,mp-34563
MnBi,17.6,nan T,,table_only_1stcheck844.txt,272,Entropy change and kinetic effects at the magnetostructural phase transition of MnBi,INTERNATIONAL JOURNAL OF REFRIGERATION-REVUE INTERNATIONALE DU FROID,10.1016/j.ijrefrig.2013.07.013,mp-22878
Er3Rh2,20.01,0-5 T,4.5,table_only1861.txt,131,"Low-temperature magnetic properties and large magnetocaloric effects in the RE3Rh2 (RE = Nd, Ho and Er) intermetallics",INTERMETALLICS,10.1016/j.intermet.2020.106989,mp-1198715
Ho3Rh2,14.01,0-5 T,13,table_only1861.txt,348,"Low-temperature magnetic properties and large magnetocaloric effects in the RE3Rh2 (RE = Nd, Ho and Er) intermetallics",INTERMETALLICS,10.1016/j.intermet.2020.106989,mp-1200753
Nd3Rh2,3.78,0-5 T,23 and 8,table_only1861.txt,464,"Low-temperature magnetic properties and large magnetocaloric effects in the RE3Rh2 (RE = Nd, Ho and Er) intermetallics",INTERMETALLICS,10.1016/j.intermet.2020.106989,mp-1104743
Ho2Cu2Cd,25.1,7 T,30,table_only1891.txt,331,Large magnetocaloric effect in a wide temperature range induced by two successive magnetic phase transitions in Ho2Cu2Cd compound,INTERMETALLICS,10.1016/j.intermet.2016.10.005,mp-1205581
LaCr2Si2C,1.234,5 T,18.5,table_only1892.txt,420,A computational study of the magnetocaloric effect in the LaCr2Si2C compound,POLYHEDRON,10.1016/j.poly.2020.114539,mp-604153
ErNiAl2,21.2,5 T,5,table_only1893.txt,165,Magnetic properties and magnetocaloric effect in the aluminide RENiAl2 (RE = Ho and Er) compounds,INTERMETALLICS,10.1016/j.intermet.2017.05.011,mp-31182
HoNiAl2,14,5 T,7.5,table_only1893.txt,402,Magnetic properties and magnetocaloric effect in the aluminide RENiAl2 (RE = Ho and Er) compounds,INTERMETALLICS,10.1016/j.intermet.2017.05.011,mp-16503
DyFeO3,16.62,20 kOe,,table_only1894.txt,94,Low field induced giant anisotropic magnetocaloric effect in DyFeO3 single crystal,CHINESE PHYSICS B,10.1088/1674-1056/24/3/037501,mp-22283
Ho3Pd2,18.6,5 T,9.6,table_only_1stcheck902.txt,220,"Large magnetocaloric effect, magnetic and electronic properties in Ho3Pd2 compound: Ab initio calculations and Monte Carlo simulations",JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,10.1016/j.jmmm.2019.166263,mp-12544
GdAlO3,40.9,0-9 T,,table_only_1stcheck916.txt,172,Giant magnetocaloric effect in GdAlO3 and a comparative study with GdMnO3,JOURNAL OF PHYSICS D-APPLIED PHYSICS,10.1088/1361-6463/50/3/035002,mp-5223
GdMnO3,18,0-9 T,,table_only_1stcheck916.txt,187,Giant magnetocaloric effect in GdAlO3 and a comparative study with GdMnO3,JOURNAL OF PHYSICS D-APPLIED PHYSICS,10.1088/1361-6463/50/3/035002,mp-510575
DyCo2B2,12.1,5 T,,table_only1920.txt,,"Study of the magnetic properties and magnetocaloric effect in RCo2B2 (R = Tb, Dy and Ho) compounds",INTERMETALLICS,10.1016/j.intermet.2011.12.002,mp-5135
HoCo2B2,12.2,5 T,,table_only1920.txt,370,"Study of the magnetic properties and magnetocaloric effect in RCo2B2 (R = Tb, Dy and Ho) compounds",INTERMETALLICS,10.1016/j.intermet.2011.12.002,mp-573995
DyNi,32.7,140 kOe,61,table_only1922.txt,98,Effect of microstructure and texture on the magnetic and magnetocaloric properties of the melt-spun rare earth intermetallic compound DyNi,JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,10.1016/j.jmmm.2016.02.052,mp-2738
CeAgSb2,5.1,nan T,,table_only1926.txt,21,The magnetic and electronic properties of REAgSb2 compounds,JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,10.1016/j.jmmm.2020.167442,mp-510280
PrAgSb2,7.9,nan T,,table_only1926.txt,504,The magnetic and electronic properties of REAgSb2 compounds,JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,10.1016/j.jmmm.2020.167442,mp-1079478
Dy2In,7.1,0-40 kOe,125,table_only1935.txt,65,Magnetic anomaly and magnetocaloric effect in Dy2In,JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,10.1016/j.jmmm.2008.11.089,mp-21351
HoN,36.6,5 T,,table_only1943.txt,391,Synthesis and Magnetocaloric Effect of HoN Particles as Magnetic Refrigerant in Cryogenic Temperature by Microwave-Assisted Sol-Gel Method,KOREAN JOURNAL OF METALS AND MATERIALS,10.3365/KJMM.2016.54.4.275,mp-883
GdMn2Si2,5.9,nan T,,table_only_1stcheck948.txt,186,Magnetic and magnetocaloric properties of SmxGd1-xMn2Si2,JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2006.03.025,mp-20448
SmMn2Si2,3.4,nan T,,table_only_1stcheck948.txt,337,Magnetic and magnetocaloric properties of SmxGd1-xMn2Si2,JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2006.03.025,mp-13473
DyCr2Si2C,9.8,0-50 kOe,10.7,table_only1953.txt,89,"Structural, magnetic, and cryogenic magnetocaloric properties in the quaternary rare earths (RE) based RECr2Si2C (RE = Gd, Tb, Dy) compounds",JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2021.162777,mp-1206533
TbCr2Si2C,14.6,0-50 kOe,16.6,table_only1953.txt,564,"Structural, magnetic, and cryogenic magnetocaloric properties in the quaternary rare earths (RE) based RECr2Si2C (RE = Gd, Tb, Dy) compounds",JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2021.162777,mp-1206333
TbPdAl,11.4,0-5 T,,table_only_1stcheck957.txt,385,Metamagnetic transition and magnetocaloric effect in antiferromagnetic TbPdAl compound,JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,10.1016/j.jmmm.2011.05.042,mp-3197
ScMnO3,1.4mol,,129,table_only1961.txt,511,"STRUCTURE, MAGNETIC-SUSCEPTIBILITY AND HEAT-CAPACITY OF SCMNO3",JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/0925-8388(94)01458-2,mp-18954
Gd3Ni6Ga2,4.9,50 kOe,104,table_only1967.txt,256,Successive magnetic transitions and broad refrigeration temperature span of Gd3Ni6Ga2,JOURNAL OF SOLID STATE CHEMISTRY,10.1016/j.jssc.2022.123502,mp-1191116
TbNi4Si,14.52,4 T,,table_only1968.txt,572,"Electronic and magnetic properties of TbNi4Si: Ab initio calculations, mean field approximation and Monte Carlo simulation",JOURNAL OF SOLID STATE CHEMISTRY,10.1016/j.jssc.2016.04.036,mp-1070859
TmMnO3,8.73,70 kOe,,table_only_1stcheck971.txt,392,Rotating field entropy change in hexagonal TmMnO3 single crystal with anisotropic paramagnetic response,PHYSICAL REVIEW B,10.1103/PhysRevB.85.214426,mp-554211
LCSM,7.12,5 T,,table_only_1stcheck979.txt,247,Large magnetocaloric effect in La-based manganite composites near room temperature,JOURNAL OF THERMAL ANALYSIS AND CALORIMETRY,10.1007/s10973-022-11522-1,mp-6015
LSMN,3.9,5 T,,table_only_1stcheck979.txt,248,Large magnetocaloric effect in La-based manganite composites near room temperature,JOURNAL OF THERMAL ANALYSIS AND CALORIMETRY,10.1007/s10973-022-11522-1,mp-6015
Dy2PdSi3,16.6,5 T,,table_only_1stcheck990.txt,41,"Magnetic properties and magnetocaloric effect in the R2PdSi3 (R = Gd, Dy and Er) compounds",JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2014.11.174,mp-1213111
Er2PdSi3,22,5 T,,table_only_1stcheck990.txt,83,"Magnetic properties and magnetocaloric effect in the R2PdSi3 (R = Gd, Dy and Er) compounds",JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2014.11.174,mp-1212897
TbCoC2,15.3,5 T,28,table_only_1stcheck2009.txt,370,Large reversible magnetocaloric effect in TbCoC2 in low magnetic field,APPLIED PHYSICS LETTERS,10.1063/1.2948900,mp-5106
TbCoC2,7.8,2 T,28,table_only_1stcheck2009.txt,371,Large reversible magnetocaloric effect in TbCoC2 in low magnetic field,APPLIED PHYSICS LETTERS,10.1063/1.2948900,mp-5106
DyMn2Si2,8.2,50 kOe,,table_only_1stcheck2010.txt,66,Magnetic and magnetocaloric properties of DyMn2Si2 compound with multiple magnetic phase transition,JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,10.1016/j.jmmm.2016.10.019,mp-4985
Dy3NiSi2,3.6,0-2 T ,,table_only_1stcheck2016.txt,45,"Multiple transitions and wide refrigeration temperature range in R3NiSi2 (R = Tb, Dy) compounds",JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,10.1016/j.jmmm.2020.166551,mp-1192305
Dy3NiSi2,10.8,0-7 T ,,table_only_1stcheck2016.txt,46,"Multiple transitions and wide refrigeration temperature range in R3NiSi2 (R = Tb, Dy) compounds",JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,10.1016/j.jmmm.2020.166551,mp-1192305
Tb3NiSi2,4.5,0-2 T ,,table_only_1stcheck2016.txt,363,"Multiple transitions and wide refrigeration temperature range in R3NiSi2 (R = Tb, Dy) compounds",JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,10.1016/j.jmmm.2020.166551,mp-1190904
Tb3NiSi2,11.1,0-7 T ,,table_only_1stcheck2016.txt,364,"Multiple transitions and wide refrigeration temperature range in R3NiSi2 (R = Tb, Dy) compounds",JOURNAL OF MAGNETISM AND MAGNETIC MATERIALS,10.1016/j.jmmm.2020.166551,mp-1190904
SmNi4Si,1,50 kOe,17,table_only_1stcheck2027.txt,342,Giant magnetic coercivity in orthorhombic YNi4Si-type SmNi4Si compound,JOURNAL OF SOLID STATE CHEMISTRY,10.1016/j.jssc.2015.07.012,mp-1070955
Dy2BaCuO5,8.3,0-7 T,,table_only_1stcheck2028.txt,26,Large reversible normal and inverse magneto-caloric effects in the RE2BaCuO5 (RE = Dy and Er) compounds,JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2017.11.146,mp-22550
Er2BaCuO5,9.6,0-7 T,,table_only_1stcheck2028.txt,77,Large reversible normal and inverse magneto-caloric effects in the RE2BaCuO5 (RE = Dy and Er) compounds,JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2017.11.146,mp-505808
GdCr2Si2,14.1,5.0 T,,table_only_1stcheck2034.txt,177,Magnetic properties and magnetocaloric effect of GdCr2Si2 compound under hydrostatic pressure,JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2013.04.081,mp-610787
GdCr2Si2,15,5 T,,table_only_1stcheck2034.txt,178,Magnetic properties and magnetocaloric effect of GdCr2Si2 compound under hydrostatic pressure,JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2013.04.081,mp-610787
GdCr2Si2,14.9,5 T,,table_only_1stcheck2034.txt,179,Magnetic properties and magnetocaloric effect of GdCr2Si2 compound under hydrostatic pressure,JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2013.04.081,mp-610787
FeMnO3,1.5,90 kOe,,table_only_1stcheck2051.txt,129,Magnetic and magnetocaloric properties of FeMnO3,CERAMICS INTERNATIONAL,10.1016/j.ceramint.2015.04.017,mp-674482
Ho2Pd2Pb,17.8,8 T,,table_only_1stcheck2055.txt,214,Large magnetocaloric effect in Ho2Pd2Pb,MATERIALS TODAY COMMUNICATIONS,10.1016/j.mtcomm.2022.103327,mp-31089
ErNiSi2,27.9,0-5 T,3,table_only_1stcheck2056.txt,98,"Magnetic properties and magnetocaloric effects of RNiSi2 (R= Gd, Dy, Ho, Er, Tm) compounds",AIP ADVANCES,10.1063/1.5007018,mp-12382
Ce5Ge4,9,90 kOe,12,table_only_1stcheck2082.txt,9,Magnetic properties of the intermetallic compound Ce5Ge4,PHYSICA B-CONDENSED MATTER,10.1016/j.physb.2009.07.111,mp-1200696
Sr2DyTaO6,10.55,0-70 kOe,,table_only_1stcheck2088.txt,347,"Magnetic and Magnetocaloric Properties in Sr2RETaO6 (RE = Dy, Ho, and Er) Compounds",JOURNAL OF ELECTRONIC MATERIALS,10.1007/s11664-022-09893-0,mp-1208889
Sr2ErTaO6,8.56,0-70 kOe,,table_only_1stcheck2088.txt,348,"Magnetic and Magnetocaloric Properties in Sr2RETaO6 (RE = Dy, Ho, and Er) Compounds",JOURNAL OF ELECTRONIC MATERIALS,10.1007/s11664-022-09893-0,mp-1208927
Sr2HoTaO6,10.18,0-70 kOe,,table_only_1stcheck2088.txt,350,"Magnetic and Magnetocaloric Properties in Sr2RETaO6 (RE = Dy, Ho, and Er) Compounds",JOURNAL OF ELECTRONIC MATERIALS,10.1007/s11664-022-09893-0,mp-1189408
DyCoGe,11.5,5 T,175,table_only_1stcheck2130.txt,57,"Complex magnetic properties and large magnetocaloric effects in RCoGe (R=Tb, Dy) compounds",AIP ADVANCES,10.1063/1.5007114,mp-1102863
TbCoGe,14.5,5 T,16,table_only_1stcheck2130.txt,372,"Complex magnetic properties and large magnetocaloric effects in RCoGe (R=Tb, Dy) compounds",AIP ADVANCES,10.1063/1.5007114,mp-21144
Nd5Si3,5,50 kOe,112,table_only_1stcheck2134.txt,290,Magnetic properties and magnetocaloric effect in Nd5Si3 compound,JOURNAL OF APPLIED PHYSICS,10.1063/1.3359811,mp-567735
Nd5Si3,4.3,7 T,,table_only_1stcheck2137.txt,291,"Magnetic transition and magnetocaloric effect of R-5(Si, Sn)(3) (R = Pr, Nd) alloys",SOLID STATE COMMUNICATIONS,10.1016/j.ssc.2021.114593,mp-567735
Pr5Si3,12.1,7 T,,table_only_1stcheck2137.txt,322,"Magnetic transition and magnetocaloric effect of R-5(Si, Sn)(3) (R = Pr, Nd) alloys",SOLID STATE COMMUNICATIONS,10.1016/j.ssc.2021.114593,mp-1105764
DyTiSi,7.26.1 J/mol K,nan T,,table_only_1stcheck2141.txt,73,Heat Capacity Study of Magnetic Transition in TbTiSi and DyTiSi Compounds,"SOLID STATE PHYSICS: PROCEEDINGS OF THE 55TH DAE SOLID STATE PHYSICS SYMPOSIUM 2010, PTS A AND B",10.1063/1.3606274,mp-20954
TbTiSi,6.16.1 J/mol K,nan T,,table_only_1stcheck2141.txt,387,Heat Capacity Study of Magnetic Transition in TbTiSi and DyTiSi Compounds,"SOLID STATE PHYSICS: PROCEEDINGS OF THE 55TH DAE SOLID STATE PHYSICS SYMPOSIUM 2010, PTS A AND B",10.1063/1.3606274,mp-22532
